i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2352,2213,3.080885675553547,0.3054864070716072,0
1,2352,2215,3.040180586907449,0.19638255356121156,0
2,2389,2251,3.053309640159929,0.23242568368536587,0
3,2379,2224,3.056205035971223,0.2508747022591792,0
4,2350,2214,3.0275519421860886,0.16368516324903415,0
5,2042,1924,3.137214137214137,0.3999580719809999,0
6,2741,2577,3.0651920838183937,0.27370021606240585,0
7,2761,2597,3.0404312668463613,0.20651192786391326,0
8,2773,2618,3.0309396485867075,0.1731542281667949,0
9,2739,2575,3.024466019417476,0.15449088423379365,0
