i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2374,2255,7.67139689578714,5.0576062933931905,0
1,2348,2229,7.947510094212651,5.3790739328917,0
2,2363,2244,7.980392156862745,5.372370112950775,0
3,2349,2230,8.117040358744395,5.637894387440378,0
4,2394,2275,7.8452747252747255,5.381267333197563,0
5,2405,2286,7.83814523184602,5.187647424283982,0
6,2398,2279,7.845985081175955,5.217050251163475,0
7,2393,2274,8.087950747581354,5.473547559800205,0
8,2368,2249,7.845709204090707,5.234622447002145,0
9,2414,2295,7.790413943355119,5.2258027958707585,0
