i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1809,1625,3.1323076923076925,0.8573855953837791,0
1,1769,1585,3.0309148264984227,0.3967415972061369,0
2,1763,1579,3.075997466751108,0.7985421739270452,0
3,1766,1582,3.0543615676359037,0.7754632012384035,0
4,1765,1581,3.030360531309298,0.6028305017583235,0
5,1761,1577,3.057704502219404,0.7121327788216072,0
6,1781,1597,3.0438321853475268,0.4806407139911728,0
7,1946,1762,3.615209988649262,1.7404045957227376,0
8,1810,1626,4.178351783517835,2.6448536655018766,0
9,1761,1577,3.0240963855421685,0.5300628319376618,0
