i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1478,1337,13.44577412116679,14.353646375263208,683
1,1715,1574,13.9428208386277,12.258204054016593,647
2,1766,1625,13.819076923076922,12.325653263770574,671
3,2037,1896,14.378164556962025,11.537771761560641,612
4,1271,1130,13.693805309734513,14.850167802072349,608
5,1450,1309,13.353705118411002,11.967272487690495,617
6,1819,1678,14.280691299165673,11.781654655066886,577
7,1717,1576,13.254441624365482,11.279135113181978,625
8,1649,1508,13.802387267904509,12.344446216462593,624
9,1931,1790,14.288826815642459,11.38620346515446,637
