i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1479,1338,13.828849028400597,12.912138598600338,627
1,1823,1682,13.700951248513674,11.491209960156336,621
2,2055,1914,14.268025078369906,11.5943610211794,633
3,2046,1905,14.23254593175853,11.458380287809824,625
4,1550,1409,13.67068843151171,13.48292823347047,604
5,1227,1086,14.357274401473296,15.81870636380078,553
6,2003,1862,14.053705692803437,11.409679625999509,586
7,1853,1712,14.007009345794392,11.28796594467475,602
8,2008,1867,14.464381360471345,11.83990649618888,624
9,1785,1644,14.082116788321168,11.532243864945354,626
