i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1622,1546,8.59379042690815,5.739769592317859,0
1,1605,1529,8.541530412034009,5.45362833475358,0
2,1610,1534,8.273142112125162,5.206464331115034,0
3,1611,1535,8.402605863192182,5.5677754536831525,0
4,1621,1545,8.23495145631068,5.256262261227892,0
5,1626,1550,8.526451612903227,5.713053275747536,0
6,1597,1521,8.528599605522682,5.6040164706215725,0
7,1607,1531,8.49967341606793,5.470826961247615,0
8,1587,1511,8.387822634017207,5.387114558557219,0
9,1604,1528,8.31086387434555,5.457555144407125,0
