i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2138,1909,8.724986904138293,7.817879138187999,1526
1,2138,1909,8.895233106338397,7.838971513893595,1533
2,2126,1897,8.188719030047443,8.068383227171173,1554
3,2278,2050,8.97609756097561,8.811351569327304,1564
4,2262,2033,9.231185440236104,8.614077601706914,1533
5,2305,2076,9.415221579961464,9.45306015733453,1529
6,2274,2046,9.125122189638319,11.844338405238046,1555
7,2304,2075,9.058313253012049,9.583166569158339,1503
8,2309,2080,9.382692307692308,9.231618350368688,1535
9,2251,2022,8.97626112759644,8.309030651824543,1593
