i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1793,1641,4.982937233394272,5.363196533050391,0
1,2316,2164,6.065157116451017,4.745160626846582,0
2,2343,2191,5.978092195344591,4.63525613789433,0
3,2447,2295,6.109368191721133,4.4558130049923355,0
4,1962,1810,5.641988950276243,7.010410917873999,0
5,1853,1701,5.275720164609053,7.19100650192707,0
6,2281,2129,6.069516204790982,4.544943437597286,0
7,2273,2121,6.0193305044790195,4.449740678113657,0
8,1685,1533,3.79191128506197,4.597328963019404,0
9,2356,2204,6.0417422867513615,4.506506674696374,0
