i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,617,581,17.994836488812393,16.541867005989136,280
1,658,622,16.975884244372992,15.770288227473758,301
2,681,645,16.58449612403101,14.276486059373061,308
3,686,650,16.146153846153847,13.871781837995677,314
4,651,615,17.360975609756096,15.401608163030742,282
5,647,611,17.433715220949264,15.893573285907566,295
6,637,601,17.590682196339433,15.37535399645502,286
7,653,617,17.358184764991897,16.091404289394998,288
8,671,635,16.711811023622047,14.709697985697384,309
9,641,605,17.791735537190082,16.11988960227593,290
