i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1619,1543,8.307193778353856,5.413455676821663,0
1,1598,1522,8.354139290407359,5.3867579230429,0
2,1584,1508,8.543103448275861,5.565751078117761,0
3,1598,1522,8.492115637319317,5.497007033436978,0
4,1627,1551,8.35525467440361,5.421930220935958,0
5,1605,1529,8.452583387835187,5.7496729679581176,0
6,1612,1536,8.449869791666666,5.750574018786802,0
7,1608,1532,8.72911227154047,5.781293638191909,0
8,1616,1540,8.47987012987013,5.550849705285328,0
9,1604,1528,8.551047120418849,5.627160337018366,0
